#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,sensor_id
,,0,2026-03-18T01:01:07Z,0.550155766188,co,airSensors,TLM0100
,,0,2026-03-18T01:01:17Z,0.755504476626,co,airSensors,TLM0100
,,0,2026-03-18T01:01:27Z,0.707181198041,co,airSensors,TLM0100
,,0,2026-03-18T01:01:37Z,0.740188127933,co,airSensors,TLM0100
,,0,2026-03-18T01:01:47Z,0.902122273855,co,airSensors,TLM0100
,,0,2026-03-18T01:01:57Z,0.703459024231,co,airSensors,TLM0100
,,0,2026-03-18T01:02:07Z,0.534474616040,co,airSensors,TLM0100
,,0,2026-03-18T01:02:17Z,0.677734241756,co,airSensors,TLM0100
,,0,2026-03-18T01:02:27Z,0.686094613267,co,airSensors,TLM0100
,,0,2026-03-18T01:02:37Z,0.543796000856,co,airSensors,TLM0100
,,0,2026-03-18T01:02:47Z,0.657445592320,co,airSensors,TLM0100
,,0,2026-03-18T01:02:57Z,0.697631331209,co,airSensors,TLM0100
,,0,2026-03-18T01:03:07Z,0.696372814614,co,airSensors,TLM0100
,,0,2026-03-18T01:03:17Z,0.744810325372,co,airSensors,TLM0100
,,0,2026-03-18T01:03:27Z,0.696189104078,co,airSensors,TLM0100
,,0,2026-03-18T01:03:37Z,0.728924429518,co,airSensors,TLM0100
,,0,2026-03-18T01:03:47Z,0.679034749021,co,airSensors,TLM0100
,,0,2026-03-18T01:03:57Z,0.547787608153,co,airSensors,TLM0100
,,0,2026-03-18T01:04:07Z,0.698048583422,co,airSensors,TLM0100
,,0,2026-03-18T01:04:17Z,0.721088263945,co,airSensors,TLM0100
,,0,2026-03-18T01:04:27Z,0.686149221705,co,airSensors,TLM0100
,,0,2026-03-18T01:04:37Z,0.663772450160,co,airSensors,TLM0100
,,0,2026-03-18T01:04:47Z,0.658488049572,co,airSensors,TLM0100
,,0,2026-03-18T01:04:57Z,0.743820256890,co,airSensors,TLM0100
,,0,2026-03-18T01:05:07Z,0.719888016805,co,airSensors,TLM0100
,,0,2026-03-18T01:05:17Z,0.678613693827,co,airSensors,TLM0100
,,0,2026-03-18T01:05:27Z,0.651451458623,co,airSensors,TLM0100
,,0,2026-03-18T01:05:37Z,0.706955301189,co,airSensors,TLM0100
,,0,2026-03-18T01:05:47Z,0.629815574632,co,airSensors,TLM0100
,,0,2026-03-18T01:05:57Z,0.724914429601,co,airSensors,TLM0100
,,0,2026-03-18T01:06:07Z,0.381029169147,co,airSensors,TLM0100
,,0,2026-03-18T01:06:17Z,0.740852749807,co,airSensors,TLM0100
,,0,2026-03-18T01:06:27Z,0.554867663826,co,airSensors,TLM0100
,,0,2026-03-18T01:06:37Z,0.634124678958,co,airSensors,TLM0100
,,0,2026-03-18T01:06:47Z,0.712462824681,co,airSensors,TLM0100
,,0,2026-03-18T01:06:57Z,0.505830812462,co,airSensors,TLM0100
,,0,2026-03-18T01:07:07Z,0.696041460849,co,airSensors,TLM0100
,,0,2026-03-18T01:07:17Z,0.700696927440,co,airSensors,TLM0100
,,0,2026-03-18T01:07:27Z,0.705919421989,co,airSensors,TLM0100
,,0,2026-03-18T01:07:37Z,0.670333032626,co,airSensors,TLM0100
,,0,2026-03-18T01:07:47Z,0.623946417258,co,airSensors,TLM0100
,,0,2026-03-18T01:07:57Z,0.739972506964,co,airSensors,TLM0100
,,0,2026-03-18T01:08:07Z,0.664689414305,co,airSensors,TLM0100
,,0,2026-03-18T01:08:17Z,0.652295200972,co,airSensors,TLM0100
,,0,2026-03-18T01:08:27Z,0.517792215478,co,airSensors,TLM0100
,,0,2026-03-18T01:08:37Z,0.703366215055,co,airSensors,TLM0100
,,0,2026-03-18T01:08:47Z,0.731687160078,co,airSensors,TLM0100
,,0,2026-03-18T01:08:57Z,0.729301090336,co,airSensors,TLM0100
,,0,2026-03-18T01:09:07Z,0.681999057829,co,airSensors,TLM0100
,,0,2026-03-18T01:09:17Z,0.746749862836,co,airSensors,TLM0100
,,0,2026-03-18T01:09:27Z,0.741325301242,co,airSensors,TLM0100
,,0,2026-03-18T01:09:37Z,0.676469984964,co,airSensors,TLM0100
,,0,2026-03-18T01:09:47Z,0.634752117575,co,airSensors,TLM0100
,,0,2026-03-18T01:09:57Z,0.754546370232,co,airSensors,TLM0100
,,0,2026-03-18T01:10:07Z,0.694134245868,co,airSensors,TLM0100
,,0,2026-03-18T01:10:17Z,0.553936095668,co,airSensors,TLM0100
,,0,2026-03-18T01:10:27Z,0.648886045194,co,airSensors,TLM0100
,,0,2026-03-18T01:10:37Z,0.603879029420,co,airSensors,TLM0100
,,0,2026-03-18T01:10:47Z,0.693195309996,co,airSensors,TLM0100
